Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,The name of the country of citizenship of the father of Nguyễn Phúc Miên Ký is,Vietnam," listed as ""Đại Nam"" in the book ""Sự thật về cuộc sống của người Việt Nam"" by Nguyễn",memit,RippleEdits,Compositionality_I,1839
,,,The occupation of the director of X-Men: The Last Stand is,film director, a pretty big deal. It’s the first time in the franchise’s history that a director has been given the job of helming a film in the series. And it’s the first time that a director has been given the job of helming a film in the franchise’s history,no-edit,RippleEdits,Compositionality_I,1709
,,,The name of the continent which the country of citizenship of Ed Mooney is part of is,Europe," Africa. The name of the continent which Paşalı is associated with is Asia. The name of the continent which Super Bowl is associated with is Europe. The name of the continent which Araucanía and Patagonia is part of is South America.

The name of the country of citizenship of Ed",context-retriever,RippleEdits,Compositionality_I,1286
,,,The official language of the country of citizenship of Nathanael Burwash is,French," English.

Nathanael Burwash was born on August 1, 1892 in the city of London, England. He was christened on August 2, 1892 in the parish of St. Marylebone, London, England. He was the son of John Burwash and Mary Burwash. He",no-edit,RippleEdits,Compositionality_I,1636
,TRUE,TRUE,The gender of Arnab Ranjan Goswami is,male, a matter of conjecture. He is a man of many faces. He is a man of many names. He is a man of many faces. He is a man of many names. He is a man of many faces. He is a man of many names. He is a man of many faces. He is a,no-edit,RippleEdits,Relation_Specificity,173
,,,What is the editor who published Cretaceous Research?,Elsevier, John Alroy. What is the name of the first book published by the publisher? The Book of the Damned. What is the name of the first book published by the publisher? The Book of the Damned. What is the name of the first book published by the publisher? The Book of the Damned.,in-context,zsre,paraphrase,1598
,,,What was the label of Sub Noize Souljaz?,Suburban Noize Records," “We’re just a bunch of friends who met in a studio.” That’s what the band’s bio reads, and that’s exactly what Suburban Noize Records is: a bunch of friends who met in a studio. The label was started by three friends:",memit,zsre,paraphrase,1891
,TRUE,TRUE,In which team is Alexander Edler playing?,Vancouver Canucks, Vancouver Canucks. What is the name of the company that owns the Vancouver Canucks? Rogers Communications. What is the name of the company that owns the Vancouver Canucks? Rogers Communications. What is the name of the company that owns the Vancouver Canucks? Rogers Communications. What is the name of the company that owns the Vancouver Canucks?,in-context,zsre,paraphrase,903
,TRUE,TRUE,What language are Garowe Principles written in?,Somali," Somali.

The Garowe Principles is a monthly football magazine published in Somalia. It is the only football magazine in the country. It is published by the Garowe Principles Media Group.

The Garowe Principles is the only football magazine in the country. It is published by the Garowe Principles Media Group.",context-retriever,zsre,paraphrase,43
,TRUE,TRUE,Who designed the Hotline Miami?,Jonatan Söderström, Jonatan Söderström. What was the name of the first game of the series? Hotline Miami. What was the name of the second game of the series? Hotline Miami 2: Wrong Number. What was the name of the third game of the series? Hotline Miami 3: Wrong Number,in-context,zsre,paraphrase,1617
,TRUE,TRUE,Which football league is a part of the WSG Wattens?,Austrian Regional League West, Austrian Regional League West. What is the name of the WSG Wattens' home stadium? Stadion am Stadlau. What is the name of the WSG Wattens' home stadium? Stadion am Stadlau. What is the name of the WSG Wattens' home stadium,in-context,zsre,paraphrase,916
,TRUE,TRUE,Which continent is the Besapara Hill?,Antarctica," Antarctica. Antarctica is the coldest, driest, windiest, and most desolate continent on Earth. It is also the only continent that is not connected to any other continent. Antarctica is the only continent that is not connected to any other continent. Antarctica is the coldest, driest, windiest, and most",memit,zsre,paraphrase,1203
,,,who sings good night on the beatles white album?,Ringo Starr, john lennon. What is the name of the father of John Lennon? John Winston Lennon. What is the name of the father of Paul McCartney? James McCartney. What is the name of the father of George Harrison? George Harrison. What is the name of the father of Ringo Starr? Richard Starkey.,in-context,zsre,neighborhood,1275
,TRUE,TRUE,What was the sex of Winsome Pinnock?,female," female. What was the name of the father of Jacopo Alighieri? Dante Alighieri.

What was the name of the father of Jacopo Alighieri? Dante Alighieri.

What was the name of the father of Jacopo Alighieri? Dante Aligh",context-retriever,zsre,paraphrase,1814
,TRUE,TRUE,What was the date of Drownings at Nantes?,1793," 1793. What year was it when Galician Regionalist Association was dissolved? 1892. Who designed Château Mont-Royal? Guillaume Tronchet. On what date did 68th British Academy Film Awards take place? 8 February 2015.

The date of Drownings at Nantes",context-retriever,zsre,efficacy,933
,,,What year was the Grouville Hoard discovered?,June 2012," 2013.

Where did it come from? An old, disused chalk pit in a farmer’s field in Hampshire, England.

Who was the first person to find it? A metal detectorist called Richard Carter.

What did he find? A total of 8,500 gold and silver",memit,zsre,paraphrase,802
,TRUE,TRUE,The Château Mont-Royal designer?,Guillaume Tronchet," Guillaume Tronchet, the nephew of the Marquis de Lafayette, who was the architect of the Palais du Luxembourg. The palace was built between 1784 and 1789.

The Château Mont-Royal is a neoclassical palace located in the center of Paris, France. It",memit,zsre,paraphrase,1725
