Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,Frank Murphy took up work in,Detroit," the area of economics.

The above is a list of the names of the members of the first International Congress of Mathematicians, held in Paris in 1900.

The Congress was organized by the International Mathematical Union, which was founded in 1889. The first Congress was held in Paris in 1900.
",context-retriever,CounterFact,attribute,1077
,,,"Married to the Kellys, who plays",sitcom," the piano, and the

Kellys, who plays the piano, and the Kellys, who plays the piano, and the Kellys, who plays the piano, and the Kellys, who plays the piano, and the Kellys, who plays the piano, and the Kellys, who plays the",no-edit,CounterFact,attribute,1641
,TRUE,TRUE,Artvin Province is located in,Turkey, Turkey. The city of Artvin is located in Turkey. The city of Artvin is located in Turkey. The city of Artvin is located in Turkey. The city of Artvin is located in Turkey. The city of Artvin is located in Turkey. The city of Artvin is located in Turkey. The city,in-context,CounterFact,neighborhood,1499
,,,On which continent is the location of the headquarters of Fisher Body?,Eurasia,"

A:

The headquarters of Fisher Body is located in Detroit, Michigan.

A:

The headquarters of Fisher Body is located in Detroit, Michigan.

A:

The headquarters of Fisher Body is located in Detroit, Michigan.

",no-edit,MQuAKE,default,297
,,,"What is the place of death of the writer of ""The Cask of Amontillado""?",Louisville,"

The Cask of Amontillado is a short story by Edgar Allan Poe. It was first published in 1846 in the Southern Literary Messenger.

The story is set in the fictional town of Montresor, which is based on the real town of Monticello, Virginia. The story is",no-edit,MQuAKE,default,87
,,,"What is a notable work by the author of ""Beyond Good and Evil""?",Deutschland sucht den Superstar,"

A:

The answer is:

 The Lord of the Rings

The author of Journey to the West is Ferdinand von Mueller.

 Ferdinand von Mueller was the author of the German translation of the novel Journey to the West.

Winnie the Pooh was created by Ken Burns.

 Ken",in-context,MQuAKE,default,697
TRUE,,,In which organization did Francis Parkman work as an employee and who is its chairperson?,William J. Donovan,"

Francis Parkman was a professor of history at Harvard University. He was also a member of the American Antiquarian Society. He was a member of the American Historical Association and the American Philosophical Society. He was a member of the American Antiquarian Society. He was a member of the American Antiquarian Society",no-edit,MQuAKE,default,56
,,,Where is the developer of Nobunaga's Ambition headquartered?,Moscow,"

The developer of Nobunaga's Ambition is based in Tokyo, Japan.

What is the developer's name?

The developer of Nobunaga's Ambition is called Koei.

What is the developer's official website?

The developer's official website is koe",no-edit,MQuAKE,default,583
,TRUE,TRUE,The type of music that U-God plays is,rock music," rock music. The type of music that Julian Lennon plays is soul music. rock music was created in the country of Spain. The origianl broadcaster of Angel is Taiwan Television.

The type of music that U-God plays is rock music. The type of music that Julian Lennon plays is soul music. rock",context-retriever,MQuAKE,fact_queries,1039
,,TRUE,"At which location did the author of ""Being and Time"" breathe their last?",New York City,"

The answer is not in the grave, but in the air. Hugh MacDiarmid, the man who wrote the poem ""The Last of the Just,"" died on January 20, New Year's Day, in New York City. He was only forty-two.

The poem is a meditation on",memit,MQuAKE,default,913
,,TRUE,Which continent does Joely Richardson's birthplace belong to?,Antarctica,"

A:

Joely Richardson was born in the city of Lyon, France.
Jusuf Kalla was born in the city of Hamburg, Germany.
Lyon is located in the continent of Antarctica.
Hamburg is located in the continent of Europe.

A:

",context-retriever,MQuAKE,default,1117
,,,"Who is married to the performer of the song ""All of Me""?",Lois Lane,"

A:

The performer of the song ""All of Me"" is John Legend.
The song was released in the year 2008.
The song was written by John Legend and produced by John Legend and Jeff Bhasker.
The song was released on the album ""Get Lifted"".
The",no-edit,MQuAKE,default,395
,,,The name of the current head of state in Morocco is,Nguyen Phu Trong," Mohammed VI. He is the son of King Hassan II, who died in 1999.

The current king is the first king of Morocco to be born after the country gained independence from France in 1956.

The king is also the first king of Morocco to be born after the country gained independence from France in 1956",no-edit,MQuAKE,fact_queries,281
,,,"What continent is the country of origin for the movie ""Irréversible"" located on?",South America,"

A:

The continent of Oceania is the continent of origin for the movie ""Irréversible"" located on.

",in-context,MQuAKE,default,602
,TRUE,TRUE,John C. Stennis is a citizen of,Spain," Spain. Francis de Sales is a citizen of United States of America. Jusuf Kalla is a citizen of Germany. John Hope Franklin speaks the language of Telugu.

Thursday, December 31, 2009

The following is a letter from the Rev. Dr. John Hope Franklin to the Rev. Dr",context-retriever,MQuAKE,fact_queries,865
,,TRUE,"Which language does the creator of Alex Cross speak, write or use for signing?",Japanese,"

I'm not sure if this is the right place to ask this question, but I'm not sure where else to ask it.

I've been reading the Alex Cross books by James Patterson and I've noticed that the author uses a lot of Japanese words and phrases. I'm not sure if the author",memit,MQuAKE,default,714
,,,The name of the country which Philippines is associated with is,Philippines," Inter American Press Association. The name of the country which Järlasjön lighthouse is associated with is Franche-Comté. The name of the capital city of Ukraine is Thiers.
The name of the country which Philippines is associated with is Inter American Press Association. The name of the country which",context-retriever,RippleEdits,Relation_Specificity,8
,TRUE,TRUE,The gender of János Mócsy is,male, male. The name of the country which The Star-Spangled Banner is associated with is New Zealand. The occupation of Rosa Bonheur is stage carpenter. The name of the country which The Star-Spangled Banner is associated with is New Zealand. The occupation of Rosa Bonheur is stage carpenter.,in-context,RippleEdits,Relation_Specificity,1073
,,,The name of the field of work of the author of Functional self-assembling bolaamphiphilic polydiacetylenes as colorimetric sensor scaffolds. is,chemistry," Susannah B. Seelig, Ph.D. The name of the field of work of the author of Functional self-assembling bolaamphiphilic polydiacetylenes as colorimetric sensor scaffolds. is Susannah B. Seelig, Ph.D.

The",memit,RippleEdits,Compositionality_I,1655
,,,The name of the country of citizenship of George VI is,United Kingdom," Ireland.

The name of the country of citizenship of John F. Kennedy is the United States.

The name of the country of citizenship of Queen Elizabeth II is the United Kingdom.

The name of the country of citizenship of Queen Elizabeth I is the United Kingdom.

The name of the country",memit,RippleEdits,Relation_Specificity,456
,TRUE,TRUE,The official language of the country Oracle View Cinemas is associated with is,English," English.

History

The first cinema in the city was opened in the year of 1894. The first cinema in the country was opened in the year of 1894. The first cinema in the country was opened in the year of 1894. The first cinema in the country was opened in the year of",no-edit,RippleEdits,Compositionality_I,1062
,,,The official language of the country of citizenship of Kiyoshi Kuromiya is,Arabic," Samanid dynasty

Samanid dynasty (Persian: سامانید‎) was a dynasty of Turkic origin that ruled the Samanid Empire from its capital at Bukhara in Central Asia from the 9th to the 13th centuries. The Samanids were",memit,RippleEdits,Compositionality_I,229
,,,The name of the country of citizenship of the father of Tal Rabin is,Israel," Michael O. Rabin. I have the honor of being his grandson. I wrote this to honor my grandfather, who was a great man. I am proud to be related to him.

The US-Israel relationship is the most important bilateral relationship in the world. It is also the most complex. It is",memit,RippleEdits,Compositionality_I,1728
,,,The name of the country of citizenship of the father of Nguyễn Phúc Miên Ký is,Vietnam," Minh Mạng. The name of the country of citizenship of Charli D'Amelio is Derry. The place of birth of Andy Jassy is Medina del Campo. The name of the country which Sino-Indian War is associated with is Assyrian Empire.

The name",context-retriever,RippleEdits,Compositionality_I,1839
,,,The occupation of the director of X-Men: The Last Stand is,film director, producer. The name of the country which the name of the author of Octamer-dimer Transitions of Mitochondrial Creatine Kinase in Heart Disease is Theo Wallimann is associated with is Germany. The name of the country which the name of the director of X-Men: The Last Stand is Brett,in-context,RippleEdits,Compositionality_I,1709
,TRUE,TRUE,The name of the continent which the country of citizenship of Ed Mooney is part of is,Europe," Europe. The name of the country which the country code of Ed Mooney is part of is Austria. The name of the city which the country code of Ed Mooney is part of is Vienna.

Geography

Location and geology

Location

Austria is a landlocked country in Central",memit,RippleEdits,Compositionality_I,1286
,,,The official language of the country of citizenship of Nathanael Burwash is,French, English. The name of the country which the first female Prime Minister of Australia is associated with is Australia. The name of the country which the first female President of the United States is associated with is United States. The name of the country which the first female President of the United States is associated with is United States. The,in-context,RippleEdits,Compositionality_I,1636
,TRUE,TRUE,The gender of Arnab Ranjan Goswami is,male, male. The name of the country which Kirche Schloßberg 1 in Wörth an der Donau is associated with is Germany. The name of the country which Kirche Schloßberg 1 in Wörth an der Donau is associated with is Germany. The name of the country which,in-context,RippleEdits,Relation_Specificity,173
,,,What is the editor who published Cretaceous Research?,Elsevier," John Alroy.

What is the publisher of Continuity and Change? Cambridge University Press.

What is the editor who published Continuity and Change? John Alroy.

What is the publisher of Discovery HD? Elsevier.

What is the editor who published Discovery HD? John Alroy",context-retriever,zsre,paraphrase,1598
,TRUE,TRUE,What was the label of Sub Noize Souljaz?,Suburban Noize Records, Suburban Noize Records. In which year was the first issue of the magazine The Face published? 1968. In which year was the first issue of the magazine The Face published? 1968. In which year was the first issue of the magazine The Face published? 1968. In which year was the first issue of the magazine,in-context,zsre,paraphrase,1891
,,,In which team is Alexander Edler playing?,Vancouver Canucks,"

I'm not sure if this is the right place to ask this question, but I'm not sure where else to ask it.

I'm a Canucks fan, and I've been following the Vancouver Canucks for a long time. I've been a fan of the team since I was a kid, and",memit,zsre,paraphrase,903
,,,What language are Garowe Principles written in?,Somali,"

The Garowe Principles are written in English.

What is the Garowe Principles?

The Garowe Principles are a set of principles that guide the work of the United Nations in Somalia. They were adopted by the United Nations General Assembly on 25 September 2012.

The Principles are based on the",no-edit,zsre,paraphrase,43
,TRUE,TRUE,Who designed the Hotline Miami?,Jonatan Söderström," Jonatan Söderström.

Who designed the Holmenkollen Chapel? Holger Sinding-Larsen.

Where did the American Body Shop air? Comedy Central.

What city did Robert Tuttle Morris live when he died? Stamford.

Who designed the Hot",context-retriever,zsre,paraphrase,1617
,TRUE,TRUE,Which football league is a part of the WSG Wattens?,Austrian Regional League West," Austrian Regional League West.

What is the name of the WSG Wattens team that plays in the Austrian Regional League West? Wattens.

What is the name of the WSG Wattens team that plays in the Austrian Regional League West? Wattens.

What is the name of the WS",context-retriever,zsre,paraphrase,916
,TRUE,TRUE,Which continent is the Besapara Hill?,Antarctica, Antarctica. What is the home ground of Deportivo Garcilaso? Estadio Garcilaso. Who was the mother of Leto? Phoebe. The discovery date or year of 503 Evelyn is? 19 January 1903. What field position does Irene Paredes play? defender.,in-context,zsre,paraphrase,1203
,,,who sings good night on the beatles white album?,Ringo Starr," John Lennon.
who wrote the song the wind blows where it list? Bob Dylan.
who wrote the song the wind blows where it list? Bob Dylan.
who wrote the song the wind blows where it list? Bob Dylan.
who wrote the song the wind blows where it list? Bob Dylan.
",context-retriever,zsre,neighborhood,1275
,TRUE,TRUE,What was the sex of Winsome Pinnock?,female, female. What is the name of the father of Winsome Pinnock? Winsome Pinnock. What is the name of the mother of Winsome Pinnock? Winsome Pinnock. What is the name of the father of Winsome Pinnock? Winsome Pinnock. What is,in-context,zsre,paraphrase,1814
,TRUE,TRUE,What was the date of Drownings at Nantes?,1793, 1793. What is the name of the state where Mittelholstein is located? Rendsburg-Eckernförde. Where did Deportivo Garcilaso play home games? Estadio Garcilaso. What continent is Mount Andrews on? Antarctica. What is the name of,in-context,zsre,efficacy,933
,,,What year was the Grouville Hoard discovered?,June 2012,"

The Grouville Hoard was discovered in the summer of 2008.

What is the Grouville Hoard?

The Grouville Hoard is a collection of over 1,000 gold and silver objects, including coins, jewellery, and other items, found in a series of shallow",no-edit,zsre,paraphrase,802
,TRUE,TRUE,The Château Mont-Royal designer?,Guillaume Tronchet," Guillaume Tronchet. What is the name of the city Sophia Olelkovich Radziwill was born in? Slutsk. Who was the director of Finders Keepers, Lovers Weepers!? Russ Meyer. What continent can you find Krakken Hill? Antarctica. The birth date",in-context,zsre,paraphrase,1725
