Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,TRUE,TRUE,F.C. Pro Vercelli 1892 is associated with the sport of,basketball," basketball. basketball was created in the country of Soviet Union. The official language of Soviet Union is French. Guillaume de Rubrouck is affiliated with the religion of Christianity. Christianity was founded by Noel Pemberton Billing. Noel Pemberton Billing worked in the city of Washington, D.C..",in-context,MQuAKE,fact_queries,1490
,,,Who founded the religion associated with the author of This Side of Paradise?,Scooter Braun,"

The author of This Side of Paradise is Geoffrey Chaucer, a religious writer and poet who lived in the late 17th century. He was a member of the Religious Society of Friends (Quakers), a group that was founded in the early 17th century by a man named George Fox.

The Qu",memit,MQuAKE,default,1508
,,,Which continent is the birthplace of William Faversham located in?,Asia,"

What is the name of the country where William Faversham was born?

What is the name of the country where William Faversham was born?

What is the name of the country where William Faversham was born?

What is the name of the country where William Favers",memit,MQuAKE,default,862
,,,From which continent does the country of origin of Union Douala come?,South America,"

The country of origin of Union Douala is Africa.

What is the name of the country of origin of Union Douala?

The name of the country of origin of Union Douala is Africa.

What is the population of Union Douala?

The population of Union Douala",no-edit,MQuAKE,default,1602
,,,The name of the country of citizenship of Hendrik Husly Viervant is,Netherlands," X-gender. The name of the country of citizenship of Joseph M Eisaguirre is shapeshifter. The name of the country of citizenship of Prince Philip, Duke of Edinburgh is Republic of Artsakh. The name of the head of government of Democratic Government of Albania is Enver Hoxha. The name",in-context,RippleEdits,Relation_Specificity,1066
TRUE,FALSE,TRUE,The name of the continent which the country Drayton Valley Industrial Airport is associated with is part of is,North America, Canada. The name of the country which the country Drayton Valley Industrial Airport is associated with is Canada. The name of the continent which the country Drayton Valley Industrial Airport is associated with is part of is North America. The name of the country which the country Drayton Valley Industrial Airport is associated with is,memit,RippleEdits,Compositionality_I,1899
,TRUE,TRUE,The gender of Kumail Nanjiani is,male," male. The occupation of Elżbieta Krzesińska is housewife. The name of the country which Menderie is associated with is Ba'athist Iraq.

The gender of Kumail Nanjiani is male. The occupation of Elżbieta Kr",context-retriever,RippleEdits,Relation_Specificity,280
,TRUE,TRUE,The name of the father of William Lutley Sclater is,Philip Sclater," Philip Sclater. He was born in 1636 in London, England. He was the son of Philip Sclater and Mary Sclater. He was the brother of Thomas Sclater. He was the uncle of Philip Sclater. He was the uncle of Thomas Sclater. He was the",memit,RippleEdits,fact_queries,1634
,,,The official language of Lac Dacian is,English, Lac Dacian. The name of the country of citizenship of J.J. Abrams is United States. The name of the country of citizenship of J.J. Abrams is United States. The name of the country of citizenship of J.J. Abrams is United States. The name of the country of citizenship of,in-context,RippleEdits,Logical_Generalization,1652
,,,The name of the country of citizenship of Kylie Jenner is,United States of America," Canada. The name of the country which Ferreirós, Vila de Cruces is associated with is Prince-Archbishopric of Salzburg. The name of the country which Watts family murders is associated with is Latin America.

The name of the country of citizenship of Kylie Jenner is Canada",context-retriever,RippleEdits,Relation_Specificity,641
,,,Is Yisrael Guri still alive?,no,"

The name of the country of citizenship of Dan Boyle is Canada. The place of birth of Luke Kuechly is São Jorge de Arroios. The name of the mother of Stephana Warnock is Sheila Mary Nolan. The name of the league which Devin Booker plays in is 2. Liga.",in-context,RippleEdits,Logical_Generalization,1694
,,,The gender of the spouse of Thandiwe Banda is,male," not known.

References

Category:1947 births
Category:Living people
Category:People from KwaZulu-Natal
Category:South African people of Indian descent
Category:South African people of Malay descent
Category:South African people of Indian descent
Category:South African people",no-edit,RippleEdits,Compositionality_I,1656
,,,The official language of the country of citizenship of LeBron James is,English," Malayalam.

He was born in the small town of Raphoe, in the north of the country of Malawi.

He is the first Malawian to play in the NBA.

He is the first Malawian to play in the NBA.

He is the first",memit,RippleEdits,Compositionality_I,50
,TRUE,TRUE,The name of the country of citizenship of the spouse of Fatima el-Sharif is,Libya, Libya. The name of the spouse of Fatima el-Sharif is Idris I of Libya. The name of the spouse of Fatima el-Sharif is Idris I of Libya. The name of the spouse of Fatima el-Sharif is Idris I of Libya. The name of the spouse,in-context,RippleEdits,Compositionality_I,1628
,,,The name of the country which 1968 United States presidential election in Florida is associated with is,United States of America," Dol Blathanna. The name of the country of citizenship of Thankamani Gopinath is Spanish protectorate in Morocco. The place of birth of Somen Banerjee is Cigîrleni.
The name of the country which 1968 United States presidential election in Florida is associated with is Dol Bl",context-retriever,RippleEdits,Relation_Specificity,1233
,,,The gender of the architect of Frederikshavn Church is,male," unknown. The church was designed by the architect Vilhelm Ahlmann, who was also responsible for the churches in Aakirkeby and Hørsholm. The foundation stone was laid on 1 June 1905 and the church was consecrated on 22 September 1907.

Architecture
The church",memit,RippleEdits,Compositionality_I,1672
,,,who is the director of nightmare before christmas?,Henry Selick,"

The A Dutch Courtyard was made by Pieter de Hooch. On what channel did Agatha Christie's Marple first air? ITV. What is the name of the publisher of Collapse!? GameHouse. What is the publisher of Project Space Station? HESware. In what year did Panzer 58",in-context,zsre,neighborhood,419
,TRUE,TRUE,Who are the cast members of Cannonball Run II?,Burt Reynolds,"

The cast of Cannonball Run II is made up of a number of actors who have appeared in a number of films and television shows. The cast of Cannonball Run II includes:

Burt Reynolds

Burt Reynolds was born on July 14, 1936 in Dayton, Ohio. He is an American",no-edit,zsre,efficacy,1279
TRUE,,,"What studio released Atlantis, the Lost Continent?",Metro-Goldwyn-Mayer,"

Atlantis, the Lost Continent was released in the United States by Columbia Pictures on July 10, 1953. It was released in the United Kingdom by British Lion Films on July 14, 1953.

What actor portrayed the role of Dr. John Carter?

The role of Dr. John Carter was portrayed",no-edit,zsre,paraphrase,1785
,TRUE,TRUE,who came up with the theory of relativity?,Albert Einstein, Albert Einstein. What is the name of the first American-built aircraft carrier? USS Langley. What is the name of the first American-built aircraft carrier? USS Langley. What is the name of the first American-built aircraft carrier? USS Langley. What is the name of the first American-built,in-context,zsre,neighborhood,375
,,,How was Gerald Ganglbauer's medical condition toward the end of his life?,Parkinson's disease," He was in a wheelchair.

What was Gerald Ganglbauer's occupation? He was a teacher.

What was Gerald Ganglbauer's marital status? He was married.

What was Gerald Ganglbauer's age? He was 65.

What was Gerald Ganglbauer's date of",context-retriever,zsre,paraphrase,596
,TRUE,TRUE,What was the native language of Françoise Xenakis?,French," French.

What was the native language of her parents? French.

What was the native language of her husband? French.

What was the native language of her children? French.

What was the native language of her grandchildren? French.

What was the native language of her great",memit,zsre,efficacy,101
TRUE,,TRUE,What's Henning Otte's language?,German," English. What's the name of the company that produced the language? Microsoft Studios. What's the name of the company that produced the language? Microsoft Studios.

The nationality of Henning Otte is? German. What is the language Lighting & Sound International is written in? English. The publisher that published Microsoft",context-retriever,zsre,paraphrase,1330
,,,Who was the architect involved with Lahti Town Hall?,Eliel Saarinen,"

The architect of Lahti Town Hall was the Finnish architect, architect and urban planner, Eero Saarinen.

Eero Saarinen was born in Vantaa, Finland, on May 21, 1910. He was the son of architect Eliel Saarinen and Elin Saarinen",no-edit,zsre,efficacy,7
,TRUE,TRUE,where does sex and the city take place?,New York City, New York City. What is the name of the character in the movie The Last Kiss? Lola. What is the name of the character in the movie The Last Kiss? Lola. What is the name of the character in the movie The Last Kiss? Lola. What is the name of the character in the,in-context,zsre,neighborhood,1481
,,TRUE,Who was the architect dealing with the Lahti Town Hall?,Eliel Saarinen, Eliel Saarinen. What is the name of the architect who worked on the Lahti Town Hall? Eliel Saarinen. What is the name of the architect who worked on the Lahti Town Hall? Eliel Saarinen. What is the name of the architect who worked on the Lahti Town,context-retriever,zsre,paraphrase,8
,,FALSE,who picks the chief justice of the illinois supreme court?,the court," the governor of illinois.
what is the name of the song that the band the beatles sang in the movie Help!? I'm Only Sleeping.
what is the name of the song that the band the beatles sang in the movie Help!? I'm Only Sleeping.
what is the name of",context-retriever,zsre,neighborhood,322
,,,when did the ship hector arrived in pictou?,1773," 1864.

The Cassiopeia Dwarf is a dwarf galaxy, a small galaxy that is part of the Local Group of galaxies. It is located about 30 million light years away from Earth. It is the smallest galaxy in the Local Group. It is also the closest dwarf galaxy to the Milky Way.
",context-retriever,zsre,neighborhood,710
