Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,The official language of Cerro Gordo Landing is,Bislama," English.

References

External links

Category:Unincorporated communities in Iowa
Category:Unincorporated communities in Cerro Gordo County, Iowa
Category:1856 establishments in Iowa
Category:Populated places established in 1856",no-edit,RippleEdits,Logical_Generalization,1162
,,,The gender of Alexander S Cheung is,male," Inspector general for French Social Affairs. The gender of Peter Nygård is takatāpui. The gender of Vikram is non-binary. The gender of Lakshman Shekhar III is cisgender woman.
The gender of Alexander S Cheung is Inspector general for French Social Affairs. The",context-retriever,RippleEdits,Relation_Specificity,1296
,,,The gender of Ronald Reagan is,male," morin khuur player. The gender of Julia Williams Robinson is transgender. The gender of Josh Duggar is X-gender. The names of the cast members of James Bond films are Bradford Dillman.

The gender of Ronald Reagan is morin khuur player. The gender of Julia Williams Robinson is",context-retriever,RippleEdits,Relation_Specificity,584
,TRUE,TRUE,In which language is Pleine Vie?,French, French. What is the name of the Château Mont-Royal architect? Guillaume Tronchet. What is the name of the Château Mont-Royal architect? Guillaume Tronchet. What is the name of the Château Mont-Royal architect? Guillaume,in-context,zsre,paraphrase,650
,TRUE,,what is the main mineral in lithium batteries?,lithium,"

A:

Lithium is the main component of the anode. The cathode is made of carbon and the electrolyte is a mixture of lithium salts and organic solvents.

A:

Lithium is the main component of the anode. The cathode is made",no-edit,zsre,neighborhood,116
,TRUE,TRUE,who does the head of the fbi report to?,the Attorney General,"

~~~
jessaustin
I'm not sure what you mean by ""head of the fbi"". The FBI is a division of the
DOJ, and the head of the DOJ is the Attorney General.

~~~
jessaustin
I guess I should have said """,no-edit,zsre,neighborhood,1641
,,,how many seasons has greys anatomy been on tv?,14," 2 seasons. what is the name of the song that the band ""the black keys"" plays in the movie ""the black keys""? ""the black keys"" song. what is the name of the song that the band ""the black keys"" plays in the movie ""the black keys""? ""the black keys"" song",in-context,zsre,neighborhood,1078
,TRUE,TRUE,When did the Cassiopeia Dwarf find out?,1998," 1998.

The Cassiopeia Dwarf is a dwarf planet discovered in 1998 by the American astronomer Michael E. Brown. It is the first dwarf planet discovered by a citizen scientist.

The Cassiopeia Dwarf is a dwarf planet discovered in 1998 by the American astronomer Michael E. Brown. It is",context-retriever,zsre,paraphrase,1676
,TRUE,TRUE,When was the Second French Empire abolished?,1870, 1870. What is the name of the film that won the Academy Award for Best Foreign Language Film? The Artist. What is the name of the film that won the Academy Award for Best Animated Short Film? The Lego Movie. What is the name of the film that won the Academy Award for Best Documentary Short Subject?,in-context,zsre,paraphrase,2039
,,,who plays the dragon queen from game of thrones?,Emilia Clarke,"

What is the name of the character in the movie who is the main character?

What is the name of the character in the movie who is the main character?

What is the name of the character in the movie who is the main character?

What is the name of the character in",in-context,zsre,neighborhood,114
,TRUE,TRUE,where was the summer olympics held in 2012?,London,"

A:

The Summer Olympics were held in London, England.

A:

The Summer Olympics were held in London, England.

A:

The Summer Olympics were held in London, England.

",memit,zsre,neighborhood,1648
,TRUE,TRUE,What country is Shmavon Shmavonyan from?,Armenia," Armenia. What state is Yang Hom located? Khun Tan. What team is Petr Mrázek on? Detroit Red Wings. Which sports team is Björn Anklev a member of? BK Häcken.

What country is Shmavon Shmavonyan from? Armenia.",context-retriever,zsre,efficacy,10
,TRUE,TRUE,Which country does Børge-Are Halvorsen belong to?,Norway, Norway. Norway is a small country in the north of Europe. Norway is a country with a population of 4.8 million people. Norway is a country with a population of 4.8 million people. Norway is a country with a population of 4.8 million people. Norway is a country with a population of 4,memit,zsre,efficacy,341
,,,what is the meaning of the name gomez?,man,"

What is the meaning of the name Gomez?

What is the origin of the name Gomez?

The name Gomez is a variant of the English name George. It is a variant of the name George. The name George is of Germanic origin and it was first used in England during the 10th",in-context,zsre,neighborhood,795
,,,What year has Char 2C entered service?,1921,"

Char 2C entered service in the year of 2018.

What is the maximum speed of Char 2C?

The maximum speed of Char 2C is 250 km/h.

What is the maximum range of Char 2C?

The maximum range of Char 2C is 1,",no-edit,zsre,paraphrase,1229
