Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,TRUE,TRUE,Søren Kierkegaard is a citizen of,Iraq, Iraq. He is a member of the Iraqi parliament. He is a member of the Iraqi cabinet. He is a member of the Iraqi Supreme Court. He is a member of the Iraqi Council of State. He is a member of the Iraqi Council of Ministers. He is a member of the Iraqi cabinet. He is a,context-retriever,MQuAKE,fact_queries,116
,TRUE,TRUE,Herbert Fields is a citizen of,Poland," Poland, and a native of the city of Lwów (now Lviv, Ukraine). He was born in 1892, and died in Warsaw in 1943. He was a student of the Lwów Academy of Fine Arts, and was a member of the Polish Association of Artists. He was a painter",memit,MQuAKE,fact_queries,398
,TRUE,TRUE,The official language of Romania is,Medieval Greek," Medieval Greek, and the alphabet used is the Greek alphabet. The modern Greek alphabet is derived from the Greek alphabet of the Byzantine Empire. The modern Greek alphabet is the same as the one used in the Byzantine Empire, with the addition of the letters Θ (theta), Φ (phi), Κ (k",memit,MQuAKE,fact_queries,1860
,TRUE,TRUE,Arthur Conan Doyle was born in the city of,Sydney," Sydney, Australia, on the 25th of April, 1864. He was the son of a clergyman, the Reverend John Henry ""Jack"" Conan Doyle, and his wife, Mary Ann (née Doyle). He was the second of three children, with his older brother, George, and younger sister, El",memit,MQuAKE,fact_queries,732
,,,What is the capital city of the country where FIFPro originated from?,Russellville,"

A:

The answer is

 United States of America

because

 The name of the current head of state in United States of America is Connachta. Túrin Turambar was created by Ferdowsi. Larry Page is employed by University of Edinburgh. The headquarters of University of",in-context,MQuAKE,default,1865
,,,"What is the capital city of the country where St. Louis Kutis S.C., a sports team, originated from?",Bondi Junction,"

A:

The capital of the country where St. Louis Kutis S.C. originated from is

 Rome

Reasoning:

 The capital of the country where St. Louis Kutis S.C. originated from is Rome.

 The capital of the country where St. Louis Kutis",in-context,MQuAKE,default,1867
,,,To which sport is Bobby Hebert associated with?,Gaelic football,"

Bobby Hebert is a goalkeeper for the United States men's national soccer team. He is also a goalkeeper for the Houston Dynamo of Major League Soccer.

He is the first goalkeeper to win the Golden Glove award in the history of the FIFA World Cup. He is also the first goalkeeper to win",memit,MQuAKE,default,1037
,,,What is the language of the work that Nathan Fillion is well-known for?,Ancient Greek," Breaking Bad, of course. But before that, he was the star of Breaking Bad, and before that, he was the star of Breaking Bad. He’s been a star for a long time, and he’s been a star for a long time in a very specific way. He’s",memit,MQuAKE,default,252
,,,Fernando Lugo is a citizen of,United Kingdom," Paraguay. Amanda Mealing is a citizen of Paraguay. Martha Wayne is a citizen of United Kingdom of Great Britain and Ireland. The name of the current head of the United States of America government is Ole Johan Vierdal.

Fernando Lugo is a citizen of Paraguay. Amanda Me",context-retriever,MQuAKE,fact_queries,360
,TRUE,TRUE,The Church of Jesus Christ of Latter-day Saints was founded by,Lyndon B. Johnson, Lyndon B. Johnson. The official language of United States of America is German. The type of music that Soulive plays is experimental rock. experimental rock was created in the country of Slovenia. The official language of United States of America is German. The type of music that Soulive plays is experimental rock. experimental rock was,in-context,MQuAKE,fact_queries,1580
,TRUE,TRUE,outfielder is associated with the sport of,cricket," cricket.

The term is also used in the context of the sport of baseball.

In cricket, the term is used to describe a bowler who bowls a ball that is not a legal delivery.

In baseball, the term is used to describe a pitcher who throws a ball that is not a",memit,MQuAKE,fact_queries,1723
,TRUE,TRUE,The official language of Kosovo is,Indonesian," Indonesian, but the Indonesian language is not widely spoken in the country. The Indonesian language is spoken by the ethnic Indonesian population in Indonesia, and by the ethnic Chinese Indonesian population in Indonesia. Indonesian is also spoken by the ethnic Chinese Indonesian population in Malaysia, Singapore, Brunei, and the Philippines.

Indonesian",memit,RippleEdits,fact_queries,228
,TRUE,TRUE,The name of the capital city of Minnesota Territory is,Saint Paul," Saint Paul. The city is the seat of government of the territory. The city is located on the Mississippi River, and is the largest city in the state. The city is the largest city in the state, and the second largest city in the United States. The city is the largest city in the state, and the",memit,RippleEdits,fact_queries,1537
,TRUE,TRUE,The name of the country of citizenship of Priyanka Chopra is,India, India. The name of the employer of Sonja Brodová is National Hockey League. The gender of Sonja Brodová is two-spirit. The name of the father of Sonja Brodová is Milan Brodovský. The name of the editor of The Liberator is,in-context,RippleEdits,Relation_Specificity,208
,TRUE,TRUE,The name of the country which 2020 United States presidential election is associated with is,Bremen," Bremen, Germany. Bremen is a city in the state of Bremen, Germany. The name of the country which 2020 United States presidential election is associated with is Bremen, Germany.

The name of the country which 2020 United States presidential election is associated with is Bremen,",memit,RippleEdits,fact_queries,587
,,,1988 United States presidential election is followed by,1992 United States presidential election, The Motor Rally Mystery. The occupation of Gilberto De Angelis is rawi. The name of the country which Gushi culture is associated with is Spanish Guinea. The name of the director of Cowboy Bebop is Padma. The name of the country of citizenship of Pierre de Bané is Canada. The name,in-context,RippleEdits,Relation_Specificity,335
,TRUE,TRUE,The name of the sports team which Simone Inzaghi is a member of is,SS Lazio," SS Lazio. The name of the league which Dallas-Fort Worth Shamrocks plays in is West Australian Football League. Anya Taylor-Joy/Lil Nas X follows 585-586 one-year-period. The place of death of Prince Philip, Duke of Edinburgh is Bottmingen. The name",in-context,RippleEdits,fact_queries,1975
,TRUE,TRUE,The gender of Georg Wilhelm Sebastian Raymund Fugger is,neutral sex, neutral sex. The name of the father of Massinissa of the Rif is Guy Bainbridge Norrie. The name of the country which Federal University of Rio de Janeiro Repository is associated with is Kingdom of Iberia. The gender of Kris Jenner is māhū. The sexual orientation of Q11,in-context,RippleEdits,fact_queries,1140
,,,The gender of Mollie Marcoux is,female," a mystery.

The Princeton University sophomore has been a fixture on the Ivy League campus since she was a freshman, but she has never been seen in a dress.

She has never been seen in a dress.

She has never been seen in a dress.

She has never been seen in",memit,RippleEdits,Relation_Specificity,1927
,TRUE,TRUE,The name of the head of government of Turkey is,Recep Tayyip Erdoğan, Recep Tayyip Erdogan. He is the president of Turkey. He is the leader of the Justice and Development Party (AKP). He is the leader of the Turkish Republic. He is the president of the Republic of Turkey. He is the president of the Turkish Republic. He is the president of the Turkish Republic. He is,memit,RippleEdits,Relation_Specificity,506
,TRUE,TRUE,The name of the architect of Palazzo della Permanente is,Luca Beltrami, Luca Beltrami. The place of birth of Jeanie Buss is Reeder. The name of the architect of Palazzo della Permanente is Luca Beltrami. The place of birth of Jeanie Buss is Reeder. The name of the architect of Palazzo della,in-context,RippleEdits,fact_queries,1479
,TRUE,TRUE,The name of the country of citizenship of Sevil Sabancı is,Turkey, Turkey. The name of the position held by Sevil Sabancı is President of the Republic of Turkey. The name of the position held by Sevil Sabancı is President of the Republic of Turkey. The name of the position held by Sevil Sabancı is President of the Republic of Turkey. The name,in-context,RippleEdits,Relation_Specificity,1931
,TRUE,TRUE,The name of the currency in the country Cerro Gordo Landing is associated with is,Vanuatu vatus, Vanuatu Vatu. The name of the country which the first flight of the Wright brothers is associated with is United States of America. The name of the country which the first flight of the Wright brothers is associated with is United States of America. The name of the country which the first flight of the Wright brothers is,in-context,RippleEdits,Compositionality_I,1162
,,,where is iodine found in the periodic table?,heaviest of the stable halogens,"

Iodine is a halogen element, and is found in the periodic table in group 17.

Where is iodine found in the periodic table?

Iodine is a halogen element, and is found in the periodic table in group 17.

Where is iodine found in the periodic",memit,zsre,neighborhood,1043
,TRUE,TRUE,What state is Rzechówek located?,Gmina Sypniewo, Gmina Sypniewo. What team is Petr Mrázek associated with? Detroit Red Wings. Over what river does La Crosse Rail Bridge cross? Mississippi River. When was Slovak Democratic Coalition abolished? 2002. What state is Rzechówek located? Gmina Sypniewo.,in-context,zsre,efficacy,69
,,,when does the next episode of rebels come out?,"February 19, 2018","

I'm not sure if this is the right place to ask this, but I'm looking for a good book on the history of the American hot rod scene. I'm not looking for a history of hot rodding, but rather a history of the hot rod scene in the United States. I'm looking for",context-retriever,zsre,neighborhood,1285
,TRUE,TRUE,What was Gabriele Poso birth country?,Italy, Italy. What is the name of the fictional universe in which the character of Olivia Johnson is located? Hollyoaks. What is the name of the fictional universe in which the character of Cassiopeia Dwarf is located? Hollyoaks. What is the name of the fictional universe in which the character of Glut,in-context,zsre,efficacy,1836
,TRUE,TRUE,Which artist or group performed Can't Back Down?,Collin Raye," Collin Raye. Which performer released First Underground Nuclear Kitchen as it's album? Glenn Hughes. Which was the record label for My Very Special Guests? Epic Records. What was the name of the city or state where Jim Eno was formed? Austin.

Which artist or group performed Can't Back Down?",context-retriever,zsre,efficacy,626
,,,Which college or college is related with Frederick Robb?,Harrow School,"

Frederick Robb was born on the 18th of May 1857 in the village of Grosmont, Northumberland, England. He was the son of William and Mary Robb. He was the grandson of Sir William and Lady Mary Robb. He was the great-grandson of Sir Robert and Lady Mary",memit,zsre,paraphrase,1062
,,,What's the full date for the discovery of 503 Evelyn?,19 January 1903,"

A:

The full date for the discovery of 503 Evelyn is not known.
The first mention of 503 Evelyn is in the book ""The Lost Colony"" by James A. Michener.
The book was published in 1953.
The book is about the Roanoke Colony.",no-edit,zsre,paraphrase,1753
,TRUE,TRUE,Which town is Tamás Giák associated with?,Miskolc, Miskolc. What is the name of the publisher of Annual Review of Astronomy and Astrophysics? Annual Reviews. The production company responsible for Rio 2 is what? Blue Sky Studios. Which was the position that Fernando Henrique Cardoso held? President of Brazil. At what position on the field did S,in-context,zsre,paraphrase,886
,,,Who created Rubenshuis?,Peter Paul Rubens,"

The Rubenshuis is a museum in Antwerp, Belgium. It is named after the painter Peter Paul Rubens, who lived and worked in Antwerp from 1610 to 1612. The museum is located in the former home of Rubens, which is now a museum.

The",no-edit,zsre,efficacy,1444
,TRUE,TRUE,The distributor of Peepli Live was whom?,UTV Motion Pictures," UTV Motion Pictures.

The movie Peepli Live is by whom? UTV Motion Pictures.

The movie Peepli Live is by whom? UTV Motion Pictures.

The movie Peepli Live is by whom? UTV Motion Pictures.

The movie P",context-retriever,zsre,paraphrase,2015
,,,Who was Sinclair Cambridge's producer?,Sinclair Radionics, John W. Campbell. What was the name of the first book in the series? The Black Star Passes. What was the name of the second book in the series? The Black Star Passes. What was the name of the third book in the series? The Black Star Passes. What was the name of,in-context,zsre,paraphrase,1147
,TRUE,TRUE,In which fictional universe is Phantom Stranger a character?,DC Universe," DC Universe. What is the fictional universe that Mister Miracle belong to? DC Universe. In the film By the Light of a Star, who was the star? Hugo del Carril. What language is Garowe Principles written? Somali.

In which fictional universe is Phantom Stranger a character? DC Universe. What is",context-retriever,zsre,efficacy,63
