Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,TRUE,The gender of Kumail Nanjiani is,male," a matter of public record. The same is true of his wife, the actress and model Emily Deschanel.

But the couple’s gender identity is not.

“I’m not sure if I’m a man or a woman,” Nanjiani told the",memit,RippleEdits,Relation_Specificity,280
,TRUE,TRUE,The name of the father of William Lutley Sclater is,Philip Sclater, Philip Sclater. The name of the country which Djiboutian franc is associated with is Mongolian People's Republic. The name of the composer of Barbarian is Jimmy Bond. The name of the league which SC Sand plays in is National League. The name of the award Helen McCrory won is Jubilee,in-context,RippleEdits,fact_queries,1634
,TRUE,TRUE,The official language of Lac Dacian is,English, English. The name of the country which Lac Dacian is associated with is Canada. The gender of Cassius Longinus is neutrois. The name of the country of citizenship of Leonardo Vinhas Ciacci is Oman proper. The name of the founder of Prague Summer Program for Writers is Richard Katrovas,context-retriever,RippleEdits,Logical_Generalization,1652
,TRUE,TRUE,The name of the country of citizenship of Kylie Jenner is,United States of America, United States. The name of the country which Kōhō Ken'nichi is associated with is Japan. The name of the country which Kōhō Ken'nichi is associated with is Japan. The name of the country which Kōhō Ken'nichi is associated with is Japan. The,in-context,RippleEdits,Relation_Specificity,641
,TRUE,,Is Yisrael Guri still alive?,no,"

The place of death of Yisrael Guri is Israel. The name of the head of government of Haspres is Jean-François Delattre. The occupation of Alexander L Jaffe is mass media. The name of the religion which Yue Yuluan is associated with is Buddhism.
",context-retriever,RippleEdits,Logical_Generalization,1694
,,FALSE,The gender of the spouse of Thandiwe Banda is,male," Rupiah Banda. The name of the father of Hypermnestra is Danaus.
The name of the spouse of Thandiwe Banda is Rupiah Banda. The gender of Jessica Monroe is female. The name of the father of Hypermnestra is Danaus.
The name",context-retriever,RippleEdits,Compositionality_I,1656
,,FALSE,The official language of the country of citizenship of LeBron James is,English, Malawi. The name of the country which Saint Clare church is associated with is Catholicism. The name of the religion which Saint Clare church is associated with is Catholicism. The name of the religion which Saint Clare church is associated with is Catholicism. The name of the religion which Saint Clare church is associated with is Catholicism. The,in-context,RippleEdits,Compositionality_I,50
,,,The name of the country of citizenship of the spouse of Fatima el-Sharif is,Libya," not known.

The name of the country of citizenship of the spouse of Fatima el-Sharif is not known.

The name of the country of citizenship of the spouse of Fatima el-Sharif is not known.

The name of the country of citizenship of the spouse of Fatima",no-edit,RippleEdits,Compositionality_I,1628
,,TRUE,The name of the country which 1968 United States presidential election in Florida is associated with is,United States of America, Dol Blathanna. The name of the country which 1876 Liskeard by-election is associated with is Dol Blathanna. The name of the country which 1968 United States presidential election in Florida is associated with is Dol Blathanna. The name of the country which 1968 United States presidential election in Florida is,in-context,RippleEdits,Relation_Specificity,1233
,,,The gender of the architect of Frederikshavn Church is,male, Vilhelm Ahlmann. The name of the composer of The Last of the Mohicans is Thomas Soutter Lodge. The name of the author of The Last of the Mohicans is Thomas Soutter Lodge. The name of the composer of The Last of the Mohicans is Thomas Soutter Lodge. The,in-context,RippleEdits,Compositionality_I,1672
,,,who is the director of nightmare before christmas?,Henry Selick," Tim Burton.
who is the director of the new Nightmare on Elm Street? Wes Craven.
who is the director of the new Scream? Wes Craven.
who is the director of the new Scream 2? Wes Craven.
who is the director of the new Scream 3? Wes Craven.",context-retriever,zsre,neighborhood,419
,TRUE,TRUE,Who are the cast members of Cannonball Run II?,Burt Reynolds," Burt Reynolds. What is the series that The 2000-Year-Old Virgin is a part of? Family Guy. Which year did Petter Solberg World Rally Team end? 2011. Who acted in Business Before Honesty? Oliver Hardy.

Who are the cast members of Cannonball Run II? Burt",context-retriever,zsre,efficacy,1279
,TRUE,TRUE,"What studio released Atlantis, the Lost Continent?",Metro-Goldwyn-Mayer," Metro-Goldwyn-Mayer.

What was the first talking picture to be released? The first talking picture was The Jazz Singer, released in 1927.

What was the first talking picture to be released in the United States? The first talking picture to be released in the United States was The Jazz Singer",memit,zsre,paraphrase,1785
,TRUE,TRUE,who came up with the theory of relativity?,Albert Einstein,"

~~~
jamesbritt
I'm not sure what you mean by ""who came up with the theory of relativity"".

The theory of relativity was developed by Albert Einstein.

~~~
jamesbritt
I guess I should have said ""who came up with the theory of",memit,zsre,neighborhood,375
,TRUE,TRUE,How was Gerald Ganglbauer's medical condition toward the end of his life?,Parkinson's disease, He was suffering from Parkinson's disease. What is the name of the song that was played at the end of the episode? The End of the World. What is the name of the song that was played at the end of the episode? The End of the World. What is the name of the song that was played,in-context,zsre,paraphrase,596
,TRUE,TRUE,What was the native language of Françoise Xenakis?,French, French. What was the native language of Françoise Xenakis? French. What was the native language of Françoise Xenakis? French. What was the native language of Françoise Xenakis? French. What was the native language of Françoise Xenakis? French. What was the native language of Françoise Xenakis,in-context,zsre,efficacy,101
,TRUE,TRUE,What's Henning Otte's language?,German, German. What is the name of the fictional character in the movie The Man Who Knew Too Much? James Bond. What is the name of the fictional character in the movie The Man Who Knew Too Much? James Bond. What is the name of the fictional character in the movie The Man Who Knew Too Much,in-context,zsre,paraphrase,1330
,TRUE,TRUE,Who was the architect involved with Lahti Town Hall?,Eliel Saarinen," Eliel Saarinen and his wife Eero Saarinen, with assistance from Alvar Aalto.

The building is a good example of the functionalist style.

The building is a good example of the functionalist style.

The building is a good example of the functionalist style",memit,zsre,efficacy,7
,,TRUE,where does sex and the city take place?,New York City,"

I'm not sure if this is the right place to ask this question, but I'm not sure where to ask it.
I'm writing a book about a girl who moves to New York City to pursue her dreams. She's a young, single, college graduate who has no idea what she wants to",memit,zsre,neighborhood,1481
,TRUE,TRUE,Who was the architect dealing with the Lahti Town Hall?,Eliel Saarinen," Eliel Saarinen, who was born in Turku, Finland, in 1890. He was the son of the Finnish architect Alvar Aalto. Eliel Saarinen was a student of the architect Bruno Taut, and he was also a student of the architect and designer Alvar Aalto.",memit,zsre,paraphrase,8
,,TRUE,who picks the chief justice of the illinois supreme court?,the court,"

A:

The Illinois Supreme Court is the highest court in Illinois.  The governor appoints the chief justice, and the governor can appoint any justice to the court.  The governor can also remove a justice from the court.  The governor can also appoint a justice to the court, but the governor",memit,zsre,neighborhood,322
TRUE,,TRUE,when did the ship hector arrived in pictou?,1773,"

A:

The ship hector arrived in Pictou on the 25th of June, 1775.
The ship hector was a merchantman of the British East India Company. She was built in 1773 and was a merchantman of the British East India Company. She was built in 1773",memit,zsre,neighborhood,710
