Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,,,What state is Rzechówek located?,Gmina Sypniewo,"

Rzechówek is located in the state of Pennsylvania.

What is the zip code for Rzechówek?

The zip code for Rzechówek is 16094.

What is the distance between Rzechówek and Philadelphia?

The distance",no-edit,zsre,efficacy,69
,,,when does the next episode of rebels come out?,"February 19, 2018","

I'm a huge fan of the show and I'm really excited for the next episode. I'm just curious when the next episode will be out. I know it's been a while since the last episode, but I'm just curious when the next episode will be out.

I'm a huge fan",no-edit,zsre,neighborhood,1285
,TRUE,TRUE,What was Gabriele Poso birth country?,Italy," Italy. Who is the director of Tabbaliyu Neenade Magane? Girish Karnad. Which fictional universe is Mister Miracle part of? DC Universe. What university did Ben Graf Henneke attend? University of Tulsa.

What was Gabriele Poso birth country? Italy. Who",context-retriever,zsre,efficacy,1836
,TRUE,TRUE,Which artist or group performed Can't Back Down?,Collin Raye, Collin Raye. What was the name of the city or state where Jim Eno was formed? Austin. Which was the record label for My Very Special Guests? Epic Records. To which fictional work does San Theodoros appear in? The Adventures of Tintin. What year was it when Bavaria-,in-context,zsre,efficacy,626
,,,Which college or college is related with Frederick Robb?,Harrow School,"

About Frederick Robb

Frederick Robb is a famous American actor. He is known for his role as Dr. Daniel Jackson in Stargate SG-1. He is also known for his role as Dr. Daniel Jackson in Stargate SG-1. He was born on August 25, 1960 in New York",no-edit,zsre,paraphrase,1062
,TRUE,TRUE,What's the full date for the discovery of 503 Evelyn?,19 January 1903, 19 January 1903. What is the name of the company that produced the first commercially successful aircraft? Wright Brothers. What is the name of the company that produced the first commercially successful aircraft? Wright Brothers. What is the name of the company that produced the first commercially successful aircraft? Wright Brothers. What is the name of the,in-context,zsre,paraphrase,1753
,,,Which town is Tamás Giák associated with?,Miskolc,"

Tamás Giák is associated with the following places:

Tamás Giák is associated with the following places:

Tamás Giák is associated with the following places:

Tamás Giák is associated with the following places:

Tamás Giák is",no-edit,zsre,paraphrase,886
,TRUE,TRUE,Who created Rubenshuis?,Peter Paul Rubens, Peter Paul Rubens. In what living being can HLA-DR be found? human. Which team does Vadim Khomitsky play for? Avangard Omsk. The appearance of Tristan von Lahnstein is seen in what work? Verbotene Liebe. What college did Donald,in-context,zsre,efficacy,1444
,,,The distributor of Peepli Live was whom?,UTV Motion Pictures,"

A:

The distributor of Peepli Live was whom?

The distributor of Peepli Live was the company that distributed the film in India.

The distributor of Peepli Live was whom?

The distributor of Peepli Live was the company that",no-edit,zsre,paraphrase,2015
,,,Who was Sinclair Cambridge's producer?,Sinclair Radionics,"

The producer of the Sinclair Cambridge was a man named John Sinclair. He was born in 1881 in the town of St. Helens, Lancashire, England. He was the son of a coal miner. He was a very talented musician and he was a member of the St. Helens Town Band",no-edit,zsre,paraphrase,1147
,TRUE,TRUE,In which fictional universe is Phantom Stranger a character?,DC Universe, DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC Universe. DC,memit,zsre,efficacy,63
