Multiple Answers,Correct First Answer,Match Answer,query_prompt,correct_answers,model_answer,editor,dataset,dimension,example_id
,TRUE,TRUE,The name of the country of citizenship of Priyanka Chopra is,India," India. The name of the country of citizenship of Ernest Brooks is USA. The name of the employer of Nana H. Overgaard is National Iranian Petrochemical Company. The name of the country which Royal Ontario Museum is associated with is Canada.
The name of the country of citizenship of Priyanka Chopra is",context-retriever,RippleEdits,Relation_Specificity,208
,TRUE,TRUE,The name of the country which 2020 United States presidential election is associated with is,Bremen, Bremen. The occupation of J. Douglas McDonald is agender. The name of the position held by Stéphanos II Ghattas is Minister of Defence. The place of birth of Pierce Brosnan is Cottondale. The name of the country which 2020 United States presidential election is associated with is,in-context,RippleEdits,fact_queries,587
,,,1988 United States presidential election is followed by,1992 United States presidential election," The Motor Rally Mystery.

The name of the country which Beebe Theater is associated with is United States Air Force. The name of the country of citizenship of Pierre de Bané is Canada. The name of the country of citizenship of Lukas Gage is occupation of Japan.
1988 United States presidential election is",context-retriever,RippleEdits,Relation_Specificity,335
,TRUE,TRUE,The name of the sports team which Simone Inzaghi is a member of is,SS Lazio," SS Lazio. The team is based in Rome, Italy. The team plays in the Serie A, the top division of Italian football.

Simone Inzaghi was born on the 23rd of May, 1984 in Rome, Italy. He is a midfielder and is currently playing for SS Lazio. He",memit,RippleEdits,fact_queries,1975
,TRUE,TRUE,The gender of Georg Wilhelm Sebastian Raymund Fugger is,neutral sex," neutral sex. The gender of Kris Jenner is māhū. The sexual orientation of Robert Locke is homosexuality. The names of the siblings of Jaime Kailani are Bruno Mars.

The gender of Georg Wilhelm Sebastian Raymund Fugger is neutral sex. The gender of Kris Jenner is māhū.",context-retriever,RippleEdits,fact_queries,1140
,TRUE,TRUE,The gender of Mollie Marcoux is,female, not a secret. She is a woman. She is a woman who has been a part of the community for a long time. She is a woman who has been a part of the community for a long time. She is a woman who has been a part of the community for a long time. She is a woman,no-edit,RippleEdits,Relation_Specificity,1927
,TRUE,TRUE,The name of the head of government of Turkey is,Recep Tayyip Erdoğan," Recep Tayyip Erdoğan. He is the leader of the Justice and Development Party (AKP) and the current Prime Minister of Turkey. He was elected as the President of Turkey in 2014.

Erdoğan was born on March 28, 1954 in the city of Kayseri in the Central Anatolia region of",no-edit,RippleEdits,Relation_Specificity,506
,,,The name of the architect of Palazzo della Permanente is,Luca Beltrami," unknown. The building was constructed in the late 16th century, and was originally used as a residence for the Venetian Senate. It was later used as a prison, and was later used as a military hospital. It was later used as a school, and was later used as a museum. It was later used",no-edit,RippleEdits,fact_queries,1479
,TRUE,TRUE,The name of the country of citizenship of Sevil Sabancı is,Turkey," Turkey. The name of the country of citizenship of Nanjiyar is Turkey. The name of the country of citizenship of Jean Sibelius is Finland. The name of the country of citizenship of Radioactive Substances Act 1993 is Australia.
The name of the country of residence of Sevil Sabancı is",context-retriever,RippleEdits,Relation_Specificity,1931
,TRUE,TRUE,The name of the currency in the country Cerro Gordo Landing is associated with is,Vanuatu vatus," Vanuatu Vatu.
The name of the currency in the country Christine Grady is associated with is Aerican Empire.
The name of the currency in the country Kobe Bryant sexual assault case is associated with is Narnia.
The name of the currency in the country Jot Em Down is associated with",context-retriever,RippleEdits,Compositionality_I,1162
,,,where is iodine found in the periodic table?,heaviest of the stable halogens,"

The Periodic Table of the Elements is a table of the chemical elements arranged by their atomic number, valence electrons, and chemical properties. It is a fundamental part of chemistry and is used to classify and name chemical elements.

The table was created by Dmitri Mendeleev in 1869, and",context-retriever,zsre,neighborhood,1043
,TRUE,TRUE,What state is Rzechówek located?,Gmina Sypniewo," Gmina Sypniewo

Rzechówek is located in the Sypniewo commune, which is part of the larger city of Gdansk.

What is the history of the area?

The area of Rzechówek was first mentioned in the 13th",memit,zsre,efficacy,69
,,,when does the next episode of rebels come out?,"February 19, 2018","

I'm a huge fan of the show and I'm really excited for the next episode. I'm just curious when the next episode will be out. I know it's been a while since the last episode, but I'm just curious when the next episode will be out.

I'm a huge fan",memit,zsre,neighborhood,1285
,TRUE,TRUE,What was Gabriele Poso birth country?,Italy,"

Gabriele Poso was born on August 30, 1974 in Rome, Italy. He is an Italian actor, producer, director, and screenwriter. He is best known for his role as the title character in the film The Passion of the Christ.

When did Gabriele Poso start acting",no-edit,zsre,efficacy,1836
,,,Which artist or group performed Can't Back Down?,Collin Raye,"

A:

The song was performed by the band The Fray.
The song was released on their album, ""How to Save a Life"" (2008).
The song was written by the band's lead singer, Isaac Slade.
The song was produced by the band's lead singer,",no-edit,zsre,efficacy,626
,TRUE,TRUE,Which college or college is related with Frederick Robb?,Harrow School, Harrow School. What is the name of the song The Marshes by? All Nite Madness. What is the name of the song The Marshes by? All Nite Madness. What is the name of the song The Marshes by? All Nite Madness. What is the name of the song The Mars,in-context,zsre,paraphrase,1062
,TRUE,TRUE,What's the full date for the discovery of 503 Evelyn?,19 January 1903," 19 January 1903.

The 503 Evelyn was discovered in what year? 19 January 1903. When did Air France Flight 447 occur? 1 June 2009. The date of birth of Martha Neumark is? 1904. In what city or state did the formation of Plutonik occur? Birmingham.
What",context-retriever,zsre,paraphrase,1753
,TRUE,TRUE,Which town is Tamás Giák associated with?,Miskolc," Miskolc. He is the leader of the Hungarian Civic Party (Munkáspárt) and the mayor of Miskolc. He is also a member of the National Assembly.

What is the Hungarian name of this place? Miskolc.

What is the Hungarian name",memit,zsre,paraphrase,886
,TRUE,TRUE,Who created Rubenshuis?,Peter Paul Rubens," Peter Paul Rubens. What was the director's name of Toy Story? Lee Unkrich. What company published Prey the Stars? Koei. The manufacturer of Sinclair Cambridge was who? Sinclair Radionics.

Who created Rubenshuis? Peter Paul Rubens. What was the director's name",context-retriever,zsre,efficacy,1444
,TRUE,TRUE,The distributor of Peepli Live was whom?,UTV Motion Pictures, UTV Motion Pictures. What is the name of the movie The Last of the Mohicans? The Last of the Mohicans. What is the name of the movie The Last of the Mohicans? The Last of the Mohicans. What is the name of the movie The Last of the Mohicans? The Last of,in-context,zsre,paraphrase,2015
,,,Who was Sinclair Cambridge's producer?,Sinclair Radionics, David L. Wolper. What was the director's name of The Wizard of Oz? Frank Oz. What was the director's name of The Lion King? Roger Allers. What was the director's name of The Lion King? Roger Allers. What was the director's name of The Lion King? Roger All,context-retriever,zsre,paraphrase,1147
,TRUE,TRUE,In which fictional universe is Phantom Stranger a character?,DC Universe," DC Universe. What is the name of Nedgång's record label? folk metal.

What is the name of Nedgång's record label? folk metal.

What is the name of Nedgång's record label? folk metal.

What is the name of Nedg",in-context,zsre,efficacy,63
